Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Pkmn Trainer Red,FALSE,Route 104 (North),Pkmn Trainer Red - Route 104 (North),Eevee,Quick Attack,Rest,Snore,Curse,Bulbasaur,Sleep Powder,Mega Drain,Cut,Light Screen,Charmander,Flame Wheel,Quick Attack,Bite,Will-O-Wisp,Squirtle,Fake Out,Water Pulse,Yawn,Bite,Pikachu,Shock Wave,Quick Attack,Surf,Thunder Wave,,,,,,FALSE,Sitrus Berry,Adamant,31,9,Berry Juice,Naive,31,9,Berry Juice,Rash,31,9,Berry Juice,Impish,31,9,Sitrus Berry,Rash,31,9,,,,
Hiker Devan,FALSE,Route 116,Hiker Devan - Route 116,Geodude,Rock Tomb,Dig,Secret Power,Seismic Toss,Diglett,Rock Tomb,Aerial Ace,Dig,Secret Power,Trapinch,Quick Attack,Dig,Rock Tomb,Secret Power,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Calm,31,10,,Hardy,31,9,,Hardy,31,9,,,,,,,,,,,,
Bird Keeper Johnson,FALSE,Route 116,Bird Keeper Johnson - Route 116,Hoothoot,Hypnosis,Night Shade,Reflect,Confusion,Swablu,Sing,Aerial Ace,Secret Power,Rest,Natu,Confuse Ray,Confusion,Aerial Ace,Night Shade,,,,,,,,,,,,,,,,FALSE,,Quiet,18,9,,Jolly,18,9,,Calm,18,9,,,,,,,,,,,,
School Kid Karen,FALSE,Route 116,School Kid Karen - Route 116,Totodile,Bite,Dive,Dig,,Cyndaquil,Quick Attack,Ember,Dig,,Chikorita,Synthesis,Mega Drain,Secret Power,,,,,,,,,,,,,,,,,FALSE,,Sassy,21,9,,Lonely,18,9,,Impish,24,9,,,,,,,,,,,,
School Kid Jerry,FALSE,Route 116,School Kid Jerry - Route 116,Nidoran,Horn Attack,Toxic,Dig,Rock Tomb,Shuppet,Shadow Sneak,,,,Phanpy,Mud Shot,Rock Tomb,Secret Power,Attract,,,,,,,,,,,,,,,,FALSE,,Calm,24,10,,Careful,12,9,,Timid,24,10,,,,,,,,,,,,
Lady Sarah,FALSE,Route 116,Lady Sarah - Route 116,Spoink,Confusion,Confuse Ray,Bounce,Secret Power,Meowth,Fake Out,Aerial Ace,Pay Day,Bite,Bellsprout,Stun Spore,Acid,Secret Power,Mega Drain,,,,,,,,,,,,,,,,FALSE,Oran Berry,Relaxed,18,10,Oran Berry,Rash,18,10,Poison Barb,Hardy,24,10,,,,,,,,,,,,
Rich Boy Dawson,FALSE,Route 116,Rich Boy Dawson - Route 116,Swinub,Ice Shard,Mud Shot,Rock Tomb,Secret Power,Mareep,Thunder Wave,Thundershock,Secret Power,,Aipom,Fake Out,Aerial Ace,Cut,Tickle,,,,,,,,,,,,,,,,FALSE,Oran Berry,Hardy,24,10,Oran Berry,Impish,31,10,,Naive,24,9,,,,,,,,,,,,
Youngster Joey,FALSE,Route 116,Youngster Joey - Route 116,Rattata,Quick Attack,Bite,Secret Power,Water Pulse,Ekans,Glare,Acid,Bite,Mega Drain,Sandshrew,Sand Tomb,Rock Tomb,Swift,Aerial Ace,Slakoth,Crush Claw,,,,,,,,,,,,,,FALSE,Sitrus Berry,Adamant,31,10,,Brave,24,10,,Hardy,24,10,Choice Band,Adamant,31,10,,,,,,,,
Hiker Clark,FALSE,Route 116,Hiker Clark - Route 116,Slugma,Recover,Flame Wheel,Rock Tomb,Body Slam,Teddiursa,Lick,Facade,Snore,Rest,Gulpin,Acid,Swallow,Toxic,Secret Power,,,,,,,,,,,,,,,,FALSE,Charcoal,Calm,31,10,Spell Tag,Calm,24,10,Berry Juice,Modest,24,10,,,,,,,,,,,,
Lass Janice,FALSE,Route 116,Lass Janice - Route 116,Jigglypuff,Sing,Present,Tackle,,Nidoran,Toxic,Bite,Secret Power,,Marill,Bubblebeam,Secret Power,Tickle,,,,,,,,,,,,,,,,,FALSE,,Quiet,24,10,,Rash,18,10,,Adamant,31,9,,,,,,,,,,,,
Bug Maniac Jose,FALSE,Route 116,Bug Maniac Jose - Route 116,Dustox,Iron Defense,Light Screen,Confusion,Toxic,Beautifly,Gust,Leech Life,Mega Drain,Stun Spore,Beedrill,Rock Smash,Aerial Ace,Secret Power,Giga Drain,Butterfree,Stun Spore,Supersonic,Mega Drain,Confusion,,,,,,,,,,,FALSE,Sitrus Berry,Impish,31,10,Miracle Seed,Mild,24,10,Black Belt,Naughty,24,10,Cheri Berry,Quiet,24,10,,,,,,,,
School Kid Josh,FALSE,Rustboro Gym,School Kid Josh - Rustboro Gym,Geodude,Selfdestruct,,,,Zubat,Giga Drain,Aerial Ace,Hypnosis,Leech Life,Sudowoodo,Calm Mind,Thunderpunch,Ice Punch,Rock Tomb,Omanyte,Water Pulse,Rock Tomb,Aurora Beam,Bite,,,,,,,,,,,FALSE,Choice Band,Modest,0,15,Cheri Berry,Mild,31,11,Sitrus Berry,Sassy,31,12,Hard Stone,Hardy,31,14,,,,,,,,
School Kid Tammy,FALSE,Rustboro Gym,School Kid Tammy - Rustboro Gym,Aron,Aerial Ace,Rock Tomb,Brick Break,Secret Power,Corsola,Recover,Rock Tomb,Aurora Beam,Water Pulse,Rhyhorn,Megahorn,Magnitude,Rock Tomb,Ice Beam,Yanma,Aerial Ace,Ancientpower,Silver Wind,Giga Drain,Larvitar,Rock Slide,Earthquake,Facade,Sleep Talk,,,,,,FALSE,Sharp Beak,Hardy,31,13,Hard Stone,Sassy,31,13,Lum Berry,Relaxed,31,15,,Careful,24,11,Persim Berry,Rash,24,15,,,,
Hiker Marc,FALSE,Rustboro Gym,Hiker Marc - Rustboro Gym,Onix,Swagger,Dig,Rock Tomb,Selfdestruct,Cacnea,Thunder Wave,Teeter Dance,Needle Arm,Stomp,Kabuto,Aerial Ace,Rock Tomb,Giga Drain,Mud Shot,Baltoy,Psybeam,Rock Tomb,Signal Beam,Selfdestruct,,,,,,,,,,,FALSE,Liechi Berry,Gentle,31,15,Silk Scarf,Adamant,31,12,Miracle Seed,Hardy,31,14,Twistedspoon,Jolly,24,12,,,,,,,,
Leader Roxanne,FALSE,Rustboro Gym,Leader Roxanne - Rustboro Gym,Nosepass,Selfdestruct,Attract,Seismic Toss,Thunder Wave,Lileep,Sludge Bomb,Giga Drain,Recover,Ancientpower,Anorith,Aerial Ace,Brick Break,X-Scissors,Rock Slide,Relicanth,Rock Throw,Secret Power,Yawn,Water Pulse,Shuckle,Toxic,Curse,Rollout,Sunny Day,Lunatone,Hypnosis,Moonlight,Confusion,Rock Slide,FALSE,Sitrus Berry,Naughty,31,15,Sitrus Berry,Hardy,31,14,Lum Berry,Quiet,31,14,Sitrus Berry,Lax,31,14,Sitrus Berry,Adamant,31,14,Lum Berry,Lonely,31,15
Team Aqua Grunt,FALSE,Rusturf Tunnel,Team Aqua Grunt - Rusturf Tunnel,Dratini,Thunder Wave,Dragonbreath,Water Pulse,Headbutt,Tentacool,Toxic,Water Pulse,Icy Wind,Secret Power,Voltorb,Thunder Wave,Sonicboom,Shock Wave,Selfdestruct,Barboach,Magnitude,Dragon Dance,Water Pulse,Secret Power,Snorunt,Bite,Body Slam,Ice Shard,Attract,Carvanha,Ancientpower,Bounce,Water Pulse,Crunch,FALSE,Scope Lens,Impish,24,14,Lax Incense,Quiet,31,14,King'S Rock,Jolly,31,13,Focus Band,Lonely,31,14,King'S Rock,Hardy,31,13,Scope Lens,Calm,31,15
Pkmn Trainer May,FALSE,Rustboro City,Pkmn Trainer May - Rustboro City,Farfetch'D,Quick Attack,Aerial Ace,Mud-Slap,Cut,Minun,Thunder Wave,Thundershock,Quick Attack,Seismic Toss,Nidorina,Toxic,Secret Power,Drill Run,Protect,Chikorita,Light Screen,Reflect,Mega Drain,Secret Power,Squirtle,Water Gun,Attract,Secret Power,Icy Wind,Combusken,Ember,Double Kick,Rock Tomb,Quick Attack,FALSE,Stick,Brave,31,14,Berry Juice,Modest,31,14,Silk Scarf,Naughty,0,16,Sitrus Berry,Rash,31,15,Mystic Water,Bold,31,15,Charcoal,Hardy,31,16
Battle Girl Laura,FALSE,Dewford Gym,Battle Girl Laura - Dewford Gym,Makuhita,Fake Out,Force Palm,Rock Tomb,Shadow Punch,Machop,Revenge,Rock Tomb,Facade,Sleep Talk,Meditite,Fake Out,Rock Smash,Rock Tomb,Body Slam,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Hardy,31,16,Sitrus Berry,Bold,31,16,Sitrus Berry,Mild,27,16,,,,,,,,,,,,
Black Belt Takao,FALSE,Dewford Gym,Black Belt Takao - Dewford Gym,Tyrogue,Mach Punch,Hi Jump Kick,Facade,Rock Slide,Mankey,Brick Break,Rock Tomb,Facade,Bulk Up,Vigoroth,Brick Break,Slack Off,Counter,Shadow Ball,,,,,,,,,,,,,,,,FALSE,Salac Berry,Relaxed,31,16,Sitrus Berry,Timid,31,16,Rawst Berry,Modest,18,16,,,,,,,,,,,,
Battle Girl Lilith,FALSE,Dewford Gym,Battle Girl Lilith - Dewford Gym,Wynaut,Counter,Mirror Coat,Tickle,Safeguard,Shroomish,Spore,Giga Drain,Facade,Substitute,Combusken,Ember,Double Kick,Rock Tomb,Endure,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,15,Sitrus Berry,Timid,31,16,Starf Berry,Jolly,24,16,,,,,,,,,,,,
Black Belt Cristian,FALSE,Dewford Gym,Black Belt Cristian - Dewford Gym,Magby,Fire Punch,Brick Break,Thunderpunch,Psychic,Makuhita,Bulk Up,Revenge,Rock Slide,Shadow Punch,Elekid,Thunderpunch,Brick Break,Ice Punch,Fire Punch,Mankey,Substitute,Reversal,Rock Tomb,Secret Power,,,,,,,,,,,FALSE,Black Belt,Modest,18,15,Sitrus Berry,Impish,31,16,Black Belt,Mild,15,15,Liechi Berry,Hardy,31,16,,,,,,,,
Sailor Brenden,FALSE,Dewford Gym,Sailor Brenden - Dewford Gym,Breloom,Stun Spore,Mach Punch,Giga Drain,Rock Tomb,Poliwhirl,Hypnosis,Water Pulse,Ice Punch,Mud Shot,Machoke,Karate Chop,Rock Tomb,Bulk Up,Rest,,,,,,,,,,,,,,,,FALSE,Miracle Seed,Hardy,18,16,Soft Sand,Sassy,24,16,Sitrus Berry,Naughty,31,16,,,,,,,,,,,,
Battle Girl Jocelyn,FALSE,Dewford Gym,Battle Girl Jocelyn - Dewford Gym,Heracross,Rock Smash,Aerial Ace,Rock Tomb,Sleep Talk,Wobbuffet,Charm,Mirror Coat,Counter,Encore,Meditite,Revenge,Ice Punch,Thunderpunch,Psychic,,,,,,,,,,,,,,,,FALSE,,Mild,0,16,,Lonely,0,15,Lum Berry,Bold,31,16,,,,,,,,,,,,
Leader Brawly,FALSE,Dewford Gym,Leader Brawly - Dewford Gym,Hitmontop,Fake Out,Mach Punch,Rock Slide,Secret Power,Hitmonlee,Sleep Talk,Rolling Kick,Rock Slide,Secret Power,Hitmonchan,Shadow Punch,Mach Punch,Rock Slide,Facade,Meditite,Brick Break,Shadow Ball,Rock Slide,Fake Out,Poliwrath,Hypnosis,Surf,Ice Punch,Brick Break,Hariyama,Force Palm,Shadow Punch,Rock Slide,Fake Out,FALSE,Lum Berry,Quiet,31,17,Sitrus Berry,Hardy,31,17,Chesto Berry,Gentle,31,17,Lum Berry,Mild,31,19,Lum Berry,Hardy,31,17,Lum Berry,Modest,31,19
Team Aqua Grunt,FALSE,Route 106,Team Aqua Grunt - Route 106,Gastly,Shadow Ball,Sludge Bomb,Selfdestruct,Hypnosis,Porygon,Tri Attack,Psybeam,Recover,Recycle,Marshtomp,Mud Shot,Water Pulse,Ice Punch,Toxic,Drowzee,Hypnosis,Dream Eater,Brick Break,Confusion,Sneasel,Ice Beam,Aerial Ace,Secret Power,Surf,Clamperl,Toxic,Water Pulse,Aurora Beam,Rest,FALSE,Scope Lens,Gentle,31,14,Starf Berry,Adamant,24,14,Focus Band,Calm,12,16,Scope Lens,Hardy,31,14,King'S Rock,Modest,24,13,Deepseascale,Impish,31,15
Fisherman Elliot,FALSE,Route 106,Fisherman Elliot - Route 106,Poliwag,Hypnosis,Secret Power,Water Pulse,,Wooper,Magnitude,Rock Tomb,Recover,,Remoraid,Flamethrower,Psybeam,Water Pulse,,Horsea,Aurora Beam,Dragonbreath,Water Pulse,,,,,,,,,,,,FALSE,,Bold,31,15,,Hardy,31,15,,Sassy,31,15,,Careful,31,15,,,,,,,,
Sailor Huey,FALSE,Route 109,Sailor Huey - Route 109,Seel,Aurora Beam,Water Pulse,Ice Shard,,Electrike,Secret Power,Shock Wave,Bite,,Spheal,Powder Snow,Water Pulse,Secret Power,,Growlithe,Secret Power,Flame Wheel,Bite,,,,,,,,,,,,FALSE,,Careful,31,16,,Jolly,31,15,,Hardy,31,16,,Relaxed,31,15,,,,,,,,
Tuber Gwen,FALSE,Route 109,Tuber Gwen - Route 109,Spheal,Ice Ball,Defense Curl,Rollout,,Treecko,Mega Drain,Bite,Quick Attack,Secret Power,Diglett,Mud Shot,Rock Tomb,Secret Power,Flail,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Modest,31,15,,Sassy,24,15,Soft Sand,Naughty,24,15,,,,,,,,,,,,
Tuber Austina,FALSE,Route 109,Tuber Austina - Route 109,Lotad,Fake Out,Mega Drain,Dive,,Hoothoot,Hypnosis,Night Shade,Aerial Ace,,Mudkip,Water Gun,Endeavor,Mud-Slap,,,,,,,,,,,,,,,,,FALSE,,Lax,18,15,,Bold,24,15,,Quiet,24,15,,,,,,,,,,,,
Bird Keeper Elijah,FALSE,Route 109,Bird Keeper Elijah - Route 109,Psyduck,Bubblebeam,Confusion,Aerial Ace,,Delibird,Ice Punch,Aerial Ace,Ice Shard,,Torchic,Will-O-Wisp,Aerial Ace,Seismic Toss,,Doduo,Quick Attack,Mud-Slap,Peck,,,,,,,,,,,,FALSE,,Impish,24,15,,Bold,24,15,,Naive,24,15,,Naive,31,15,,,,,,,,
Fisherman Carter,FALSE,Route 109,Fisherman Carter - Route 109,Slowpoke,Slack Off,Bubblebeam,Confusion,,Shellder,Ice Shard,Bubblebeam,Mud Shot,,Barboach,Mud Shot,Bounce,Water Pulse,,,,,,,,,,,,,,,,,FALSE,,Gentle,24,15,,Impish,31,15,,Sassy,31,16,,,,,,,,,,,,
Tuber Ricky,FALSE,Route 109,Tuber Ricky - Route 109,Seedot,Giga Drain,Nature Power,Quick Attack,Synthesis,Sandshrew,Magnitude,Rock Slide,Slash,Mud-Slap,Farfetch'D,Quick Attack,Slash,Aerial Ace,Steel Wing,,,,,,,,,,,,,,,,FALSE,,Mild,31,16,,Brave,31,16,Stick,Adamant,31,16,,,,,,,,,,,,
Tuber Hailey,FALSE,Route 109,Tuber Hailey - Route 109,Azurill,Double-Edge,,,,Numel,Magnitude,Flame Wheel,Rock Tomb,,Jigglypuff,Sing,Water Pulse,Secret Power,Seismic Toss,,,,,,,,,,,,,,,,FALSE,Choice Band,Relaxed,31,16,Berry Juice,Impish,31,16,Mystic Water,Jolly,31,16,,,,,,,,,,,,
Sailor Edmond,FALSE,Route 109,Sailor Edmond - Route 109,Krabby,Crabhammer,Mud Shot,Secret Power,X-Scissors,Gulpin,Sludge Bomb,Swallow,Water Pulse,Giga Drain,Exeggcute,Mega Drain,Confusion,Hypnosis,Secret Power,,,,,,,,,,,,,,,,FALSE,Mystic Water,Hardy,31,16,Berry Juice,Impish,31,16,,Timid,31,15,,,,,,,,,,,,
Tuber Lola,FALSE,Route 109,Tuber Lola - Route 109,Hoppip,Stun Spore,Leech Seed,Aerial Ace,,Marill,Rollout,Defense Curl,Bubblebeam,,Swablu,Aerial Ace,Secret Power,Rest,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,16,,Modest,31,16,,Impish,24,16,,,,,,,,,,,,
Tuber Chandler,FALSE,Route 109,Tuber Chandler - Route 109,Corphish,Aerial Ace,Crabhammer,Mud-Slap,,Spearow,Drill Run,Quick Attack,Aerial Ace,,Spoink,Psybeam,Confuse Ray,Secret Power,,,,,,,,,,,,,,,,,FALSE,,Impish,24,16,,Calm,24,16,,Jolly,24,16,,,,,,,,,,,,
Aqua Grunt #1,FALSE,Slateport City,Aqua Grunt #1 - Slateport City,Shellder,Icy Wind,Selfdestruct,Water Pulse,Mud Shot,Croconaw,Brick Break,Crunch,Body Slam,Water Pulse,Grimer,Selfdestruct,Brick Break,Shadow Sneak,Sludge Bomb,Lombre,Leech Seed,Synthesis,Icy Wind,Mega Drain,Staryu,Thunder Wave,Shock Wave,Water Pulse,Tri Attack,Vigoroth,Aerial Ace,Surf,Slack Off,Secret Power,FALSE,Scope Lens,Sassy,31,17,Scope Lens,Hardy,31,18,Scope Lens,Jolly,31,17,Focus Band,Lax,31,18,King'S Rock,Naive,31,19,Rawst Berry,Hasty,31,18
Aqua Grunt #2,FALSE,Slateport City,Aqua Grunt #2 - Slateport City,Wynaut,Mirror Coat,Counter,Destiny Bond,,Chinchou,Thunder Wave,Water Pulse,Shock Wave,Headbutt,Smoochum,Sing,Ice Punch,Psybeam,Rain Dance,Wailmer,Selfdestruct,Body Slam,Rain Dance,Water Pulse,Dratini,Thunder Wave,Dragon Rage,,,Clamperl,Rain Dance,Muddy Water,Rest,Sleep Talk,FALSE,Sitrus Berry,Hardy,31,17,King'S Rock,Hardy,31,19,Scope Lens,Naughty,31,19,Lax Incense,Hardy,31,18,Leppa Berry,Lax,31,18,Deepseatooth,Brave,31,20
Pokéfan Isabel,FALSE,Route 110,Pokéfan Isabel - Route 110,Wailmer,Attract,Dive,Protect,Bounce,Nidorina,Attract,Sludge Bomb,Brick Break,Water Pulse,Delcatty,Thunder Wave,Attract,Protect,Headbutt,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Brave,31,16,,Hardy,31,16,Leftovers,Calm,31,16,,,,,,,,,,,,
Pokéfan Kaleb,FALSE,Route 110,Pokéfan Kaleb - Route 110,Pikachu,Thunderpunch,Quick Attack,Thunder Wave,Seismic Toss,Nidorino,Brick Break,Sludge Bomb,Attract,Water Pulse,Mawile,Brick Break,Rock Tomb,Attract,Ice Punch,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Adamant,31,17,Mystic Water,Timid,31,16,Berry Juice,Hardy,18,16,,,,,,,,,,,,
Psychic Edward,FALSE,Route 110,Psychic Edward - Route 110,Slowpoke,Psychic,Water Pulse,Slack Off,Body Slam,Exeggcute,Giga Drain,Stun Spore,Psychic,Sludge Bomb,Abra,Psychic,Ice Punch,Thunderpunch,Fire Punch,,,,,,,,,,,,,,,,FALSE,Leftovers,Hasty,31,18,,Jolly,24,18,,Timid,31,18,,,,,,,,,,,,
Psychic Jaclyn,FALSE,Route 110,Psychic Jaclyn - Route 110,Unown,HP Fight,,,,Shuppet,Psychic,Shadow Sneak,Secret Power,Will-O-Wisp,Kirlia,Psybeam,Hypnosis,Thunder Wave,Will-O-Wisp,,,,,,,,,,,,,,,,FALSE,Choice Band,Impish,30,19,,Hasty,31,19,Sitrus Berry,Adamant,31,19,,,,,,,,,,,,
Youngster Timmy,FALSE,Route 110,Youngster Timmy - Route 110,Kecleon,Secret Power,Shadow Sneak,Aerial Ace,,Nuzleaf,Pursuit,Fake Out,Giga Drain,,Lickitung,Lick,Water Pulse,Cut,,,,,,,,,,,,,,,,,FALSE,,Careful,18,19,,Bold,19,19,,Calm,24,19,,,,,,,,,,,,
Collector Edwin,FALSE,Route 110,Collector Edwin - Route 110,Chimecho,Signal Beam,Psybeam,Recover,Safeguard,Porygon,Tri Attack,Recover,Thunder Wave,Psybeam,Omanyte,Earth Power,Aurora Beam,Waterfall,Rock Slide,,,,,,,,,,,,,,,,FALSE,,Impish,24,19,,Modest,31,19,,Calm,31,19,,,,,,,,,,,,
Guitarist Joseph,FALSE,Route 110,Guitarist Joseph - Route 110,Elekid,Thunderpunch,Quick Attack,Seismic Toss,,Lombre,Rain Dance,Teeter Dance,Water Pulse,,Wigglytuff,Sing,Hyper Voice,Seismic Toss,,,,,,,,,,,,,,,,,FALSE,,Quiet,24,20,,Hardy,24,18,,Sassy,12,19,,,,,,,,,,,,
Aroma Lady Daisy,FALSE,Route 103,Aroma Lady Daisy - Route 103,Butterfree,Sleep Powder,Silver Wind,Giga Drain,,Roselia,Stun Spore,Magical Leaf,Sludge Bomb,Synthesis,Skiploom,Leech Seed,Substitute,Protect,Aerial Ace,Lombre,Water Pulse,Ice Punch,Fire Punch,Thunderpunch,Sunflora,Razor Leaf,Synthesis,Sludge Bomb,Secret Power,,,,,,FALSE,,Adamant,31,16,,Quiet,31,16,Leftovers,Impish,31,16,,Sassy,24,16,,Naive,31,17,,,,
Dragon Tamer Rhett,FALSE,Route 103,Dragon Tamer Rhett - Route 103,Bagon,Dragonbreath,Rock Tomb,Double-Edge,Brick Break,Dratini,Dragonbreath,Flamethrower,Thunderbolt,Secret Power,Charmeleon,Dragon Claw,Fire Punch,Crunch,Quick Attack,,,,,,,,,,,,,,,,FALSE,Dragon Fang,Hardy,24,17,Dragon Fang,Hardy,24,17,Dragon Fang,Naughty,24,17,,,,,,,,,,,,
